race_id,driver_id,count
1006,840,54
941,1,53
975,8,70
1036,825,65
84,30,32
75,24,9
98,15,73
342,1,78
145,31,65
907,20,34
874,818,53
913,18,52
200,22,8
862,815,56
872,817,53
183,55,49
93,18,62
174,55,55
841,30,19
33,6,66
861,817,56
930,807,65
873,3,59
991,838,56
82,23,67
156,44,72
197,49,20
860,814,58
965,836,55
232,65,70
349,18,15
20,8,57
134,62,68
178,35,32
918,1,55
354,5,69
871,155,44
46,18,35
70,38,70
932,828,69
49,16,43
208,64,15
843,13,56
1004,839,52
846,18,78
181,14,9
853,13,53
1031,826,69
1061,832,52
991,843,51
23,7,7
149,56,67
137,30,44
239,44,52
977,828,69
344,13,69
872,155,53
1011,9,55
69,27,20
170,56,44
936,832,60
870,155,67
975,838,69
90,44,56
953,18,77
957,828,11
71,40,53
944,831,70
993,845,63
171,25,53
162,30,65
1074,842,44
1067,842,58
1013,815,51
83,17,69
108,14,58
39,27,63
20,16,55
44,2,59
57,30,60
98,30,73
118,15,60
171,65,1
202,14,77
938,833,51
1088,839,72
60,30,60
851,816,65
161,35,56
885,18,78
851,3,69
991,840,56
943,4,1
961,807,53
952,826,65
899,16,70
350,13,53
164,2,77
49,1,44
1070,830,71
867,817,57
235,22,75
962,20,61
54,27,54
1056,822,29
108,50,57
1089,825,52
943,3,71
953,3,78
913,821,17
176,56,71
198,71,19
195,63,21
103,31,37
1033,815,69
51,23,25
61,17,69
993,815,64
1027,825,69
345,17,8
1024,9,61
25,16,69
45,26,2
13,18,53
109,50,52
1065,842,3
64,24,66
993,844,64
973,822,38
872,5,52
1041,846,42
1087,847,44
1032,826,70
233,57,61
88,32,53
848,813,56
87,15,69
883,824,56
1028,830,56
82,22,66
193,44,65
941,154,11
867,20,33
97,31,70
81,8,60
347,3,66
164,21,78
985,836,5
967,836,71
190,44,19
970,826,18
234,83,43
1027,817,71
47,1,58
177,30,62
108,8,58
1033,848,70
951,815,52
46,1,70
906,826,47
868,4,52
864,155,66
347,67,1
964,839,52
136,17,75
343,30,58
1023,8,52
14,6,61
187,55,53
926,831,58
892,818,14
128,21,5
902,821,39
14,22,61
217,55,76
1055,1,66
938,20,53
865,1,78
164,57,77
1089,844,53
46,23,70
899,814,70
