race_id,driver_id,position,time_ms,lap
1,1,4,150895,58
1,2,11,132652,58
1,3,7,150911,58
1,4,6,150445,58
1,6,4,90718,17
1,7,9,134500,58
1,8,15,116690,55
1,9,3,90170,55
1,10,5,151010,58
1,12,7,140068,24
1,13,11,90439,45
1,15,3,150943,58
1,16,10,132441,58
1,17,13,152586,57
1,18,1,152873,58
1,20,7,160783,56
1,21,12,131921,58
1,22,2,151564,58
1,67,8,150458,58
2,1,7,145330,31
2,2,2,135467,31
2,3,8,163657,31
2,4,11,168204,31
2,6,12,166122,31
2,7,10,158180,31
2,8,14,178640,31
2,9,19,122738,1
2,10,3,145283,31
2,12,13,165167,31
2,13,9,158923,31
2,15,4,139464,31
2,16,17,135159,30
2,17,6,150415,31
2,18,1,126937,31
2,20,8,120150,30
2,21,17,121571,29
2,22,5,142825,31
2,67,11,130014,30
3,1,6,116797,56
3,2,12,123630,56
3,3,15,114243,55
3,4,9,118846,56
3,5,5,117688,56
3,6,18,134513,43
3,7,11,120689,56
3,8,10,118952,56
3,9,13,117443,56
3,10,7,118282,56
3,12,16,116704,54
3,13,3,134428,20
3,15,20,238709,18
3,16,6,117668,50
3,17,2,115656,56
3,18,3,118829,56
3,20,1,116330,56
3,21,14,117506,55
3,22,4,118245,56
3,67,8,116833,56
4,1,4,96513,57
4,2,19,96310,56
4,3,9,99826,57
4,4,8,98417,57
4,5,12,97289,57
4,6,18,98790,48
4,7,13,95857,57
4,8,6,96376,57
4,9,18,96969,56
4,10,7,96509,57
4,12,10,97754,57
4,13,14,97674,56
4,15,3,96557,57
4,16,16,97252,56
4,17,11,97034,57
4,18,1,96805,57
4,20,2,96159,57
4,21,15,97899,56
4,22,5,96249,57
4,67,17,97043,56
5,1,9,85876,65
5,2,7,85093,66
5,3,8,86698,66
5,4,5,88475,66
5,5,16,137457,7
5,6,13,86499,65
5,8,10,85551,17
5,9,11,85722,65
5,10,10,85747,65
5,12,12,86309,65
5,13,6,98065,66
5,17,3,85121,66
5,18,1,86955,66
5,20,4,83344,66
5,21,14,83813,65
5,22,2,85423,66
6,1,12,80022,77
6,2,11,79120,77
6,3,6,77429,78
6,4,7,79797,78
6,5,7,76005,51
6,6,10,80768,76
6,7,8,78699,78
6,8,3,79704,78
6,9,15,77642,28
6,10,10,81648,77
6,12,10,83214,10
6,13,4,78701,78
6,15,13,80633,77
6,16,14,80037,77
6,17,5,77069,78
6,18,1,81340,78
6,20,13,77634,15
6,21,9,78690,78
6,22,2,78562,78
6,67,11,82759,10
7,1,13,91558,58
7,2,11,89014,58
7,3,5,89447,58
7,4,10,90257,58
7,5,14,92983,57
7,6,12,87988,58
7,7,18,89975,57
7,8,9,88061,58
7,9,7,88008,58
7,10,8,88091,58
7,12,16,88612,57
7,13,6,88803,58
7,15,4,90769,58
7,16,17,89890,57
7,17,2,89049,58
7,18,1,93223,58
7,20,3,88543,58
7,21,20,98826,4
7,22,15,89990,47
7,67,15,88624,57
8,1,16,85004,59
8,2,15,81956,59
8,3,5,82227,60
8,4,14,82771,59
8,5,19,95613,36
8,6,11,83037,60
8,7,19,95897,37
8,8,8,83679,60
8,9,13,82781,59
8,10,9,83111,60
8,12,12,82676,59
8,13,4,82361,60
8,15,7,84609,60
8,16,17,83710,59
8,17,2,82747,60
8,18,6,82105,60
8,20,1,85387,60
8,21,10,82885,60
8,22,3,82676,60
8,67,18,84285,59
9,1,18,100192,59
9,2,10,96877,60
9,3,4,95200,60
9,4,7,95160,60
9,5,8,96211,60
9,6,12,96420,60
9,7,19,150178,18
9,8,15,113657,34
9,9,14,97446,60
9,10,9,97413,60
9,12,13,96929,60
9,13,3,96613,60
9,15,17,96901,60
9,16,15,95609,60
9,17,1,96981,60
9,18,5,95238,60
9,20,2,96111,60
9,21,11,96264,60
9,22,6,95366,60
9,67,16,96802,60
10,1,1,84524,70
10,2,11,84082,70
10,3,4,83594,70
10,4,18,94862,15
